fips,state_fips_code,county_fips_code,housing_units_grams_oxy,housing_units_quant_oxy,housing_units_grams_hydro,housing_units_quant_hydro,num_homes_with_mortgage_grams_oxy,num_homes_with_mortgage_quant_oxy,num_homes_with_mortgage_grams_hydro,num_homes_with_mortgage_quant_hydro,one_bedroom_housing_units_grams_oxy,one_bedroom_housing_units_quant_oxy,one_bedroom_housing_units_grams_hydro,one_bedroom_housing_units_quant_hydro,two_bedroom_housing_units_grams_oxy,two_bedroom_housing_units_quant_oxy,two_bedroom_housing_units_grams_hydro,two_bedroom_housing_units_quant_hydro,three_bedroom_housing_units_grams_oxy,three_bedroom_housing_units_quant_oxy,three_bedroom_housing_units_grams_hydro,three_bedroom_housing_units_quant_hydro,four_bedroom_housing_units_grams_oxy,four_bedroom_housing_units_quant_oxy,four_bedroom_housing_units_grams_hydro,four_bedroom_housing_units_quant_hydro,five_bedroom_housing_units_grams_oxy,five_bedroom_housing_units_quant_oxy,five_bedroom_housing_units_grams_hydro,five_bedroom_housing_units_quant_hydro,males_in_agriculture_grams_oxy,males_in_agriculture_quant_oxy,males_in_agriculture_grams_hydro,males_in_agriculture_quant_hydro,males_in_construction_grams_oxy,males_in_construction_quant_oxy,males_in_construction_grams_hydro,males_in_construction_quant_hydro,males_in_manufacturing_grams_oxy,males_in_manufacturing_quant_oxy,males_in_manufacturing_grams_hydro,males_in_manufacturing_quant_hydro,males_in_logistics_grams_oxy,males_in_logistics_quant_oxy,males_in_logistics_grams_hydro,males_in_logistics_quant_hydro,females_in_agriculture_grams_oxy,females_in_agriculture_quant_oxy,females_in_agriculture_grams_hydro,females_in_agriculture_quant_hydro,females_in_construction_grams_oxy,females_in_construction_quant_oxy,females_in_construction_grams_hydro,females_in_construction_quant_hydro,females_in_manufacturing_grams_oxy,females_in_manufacturing_quant_oxy,females_in_manufacturing_grams_hydro,females_in_manufacturing_quant_hydro,females_in_logistics_grams_oxy,females_in_logistics_quant_oxy,females_in_logistics_grams_hydro,females_in_logistics_quant_hydro,num_degree_holders_grams_oxy,num_degree_holders_quant_oxy,num_degree_holders_grams_hydro,num_degree_holders_quant_hydro,pop_nonwhite_grams_oxy,pop_nonwhite_quant_oxy,pop_nonwhite_grams_hydro,pop_nonwhite_quant_hydro,est_total_bedrooms_grams_oxy,est_total_bedrooms_quant_oxy,est_total_bedrooms_grams_hydro,est_total_bedrooms_quant_hydro,pop_labor_jobs_grams_oxy,pop_labor_jobs_quant_oxy,pop_labor_jobs_grams_hydro,pop_labor_jobs_quant_hydro,Opioid_death_Crude_Rate_grams_oxy,Opioid_death_Crude_Rate_quant_oxy,Opioid_death_Crude_Rate_grams_hydro,Opioid_death_Crude_Rate_quant_hydro
1001,1,1,0.725379057,0.521886341,0.366695434,0.969569142,0.81363734,0.597759899,0.815694561,0.705210886,0.715064838,0.868936523,0.415490945,0.391025514,-0.917366925,-0.883804711,-0.488636723,-0.872804302,0.018296028,0.194121738,-0.300527088,0.253729678,0.971097916,0.966604718,0.708632439,0.841729575,-0.785693203,-0.932276899,-0.621415338,-0.580690166,0.995796271,0.995761195,0.694117469,-0.566507058,-0.987340829,-0.986067076,-0.599786613,0.554997353,-0.91349908,-0.963528838,-0.398677369,0.781491412,0.953673884,0.988835045,0.583693034,-0.726798998,-0.873988967,-0.837581282,-0.456129567,0.306214192,-0.99484778,-0.996371538,-0.690676155,0.574130149,-0.217917832,-0.311161136,0.521502875,0.611100511,0.269080511,0.138370496,0.854196585,0.530324798,0.719845755,0.884006241,0.766761667,0.355347406,0.936533379,0.840510593,0.854246504,0.685174108,0.885338347,0.939395195,0.611249747,0.80666065,-0.859116611,-0.897621057,-0.259982182,0.689907637,0,0,0,0
1003,1,3,0.70871869,0.700031264,0.846328305,0.405832295,-0.859133101,-0.816632081,-0.957670893,-0.664640106,-0.687035709,-0.744175415,-0.761924825,-0.397128853,-0.922740886,-0.905972881,-0.929149561,-0.644640976,-0.482889372,-0.404320617,-0.659457785,-0.558278186,0.49167486,0.431028659,0.601660192,0.507174514,0.835897876,0.801554158,0.685450237,0.603853221,-0.994574808,-0.963998164,-0.994179327,-0.80743612,-0.922636819,-0.930032579,-0.912851077,-0.692950466,-0.907565589,-0.865783626,-0.908495765,-0.684240533,0.705561737,0.713441564,0.750323581,0.343073348,0.102444817,0.075272323,0.065953621,0.097922887,-0.620857833,-0.568452186,-0.562707462,-0.438040124,0.170625388,0.116826023,0.113546835,0.049908636,0.081152493,0.055388842,0.121513148,-0.018370271,0.744585313,0.732051011,0.634336577,0.794251833,0.817691833,0.814191986,0.923592661,0.555836338,-0.507446977,-0.477612567,-0.69853929,-0.453365573,-0.958198508,-0.965649618,-0.945550714,-0.838113604,-0.704409934,-0.713491676,-0.562337257,-0.437558662
1005,1,5,0.89014712,0.887895089,0.933784552,0.938727026,0.008610325,0.137865104,0.308792757,0.28677638,-0.56649058,-0.602027392,-0.754518394,-0.765652914,-0.842240067,-0.912318131,-0.977142725,-0.948566611,0.61282896,0.643970047,0.748570754,0.750868525,0.481824103,0.56126725,0.65303129,0.651780284,0.268263342,0.176815093,0.050032914,0.178087528,-0.833286402,-0.838096376,-0.69776206,-0.624982986,-0.66142185,-0.807890421,-0.82228318,-0.66799585,-0.938043682,-0.979767875,-0.970844909,-0.992885241,-0.926426575,-0.986554746,-0.944730251,-0.899117614,-0.312972442,-0.06134784,0.129343215,-0.108676088,0.902150775,0.985233624,0.984810849,0.944306952,-0.66158133,-0.465561692,-0.186189662,-0.272685359,-0.033720953,-0.255255832,-0.525884108,-0.462288631,0.971275414,0.950482161,0.937358784,0.945444703,0.884017325,0.884830322,0.938766958,0.933962109,0.663022504,0.694062013,0.803536472,0.837691634,-0.977588236,-0.975965767,-0.873049185,-0.867402028,0,0,0,0
1007,1,7,0.718047004,0.702645756,0.642885808,0.497051399,0.571750988,0.485972754,0.727295192,0.635509588,-0.803705013,-0.848902311,-0.799800211,-0.65064603,-0.830154507,-0.798548871,-0.938158968,-0.698680744,0.957510336,0.936489406,0.737205697,0.820779026,0.155572874,0.073230598,0.411891522,0.258322851,-0.468412753,-0.45315227,-0.072369925,-0.47439204,-0.881293235,-0.947824271,-0.962016188,-0.810233109,-0.724561128,-0.725268517,-0.422815238,-0.536933443,-0.133449219,-0.088303336,-0.213528439,-0.363772861,-0.915146694,-0.817657979,-0.516277594,-0.991231609,0,0,0,0,-0.153462887,-0.358448126,-0.631583799,0.113857914,-0.979574267,-0.997535524,-0.857303333,-0.90917483,-0.775028327,-0.847925833,-0.947700495,-0.749977451,0.537789979,0.490013189,0.800820163,0.583834365,0.476191928,0.459987089,0.262803642,0.612547552,0.517214343,0.381201021,0.656532342,0.602386103,-0.96151186,-0.973715571,-0.864463251,-0.929792225,0,0,0,0
1009,1,9,0.824478242,0.839568588,0.870430556,0.772082833,0.810579803,0.816311219,0.834939353,0.710321853,0.882713616,0.886972997,0.885273662,0.882764868,-0.909561859,-0.913316761,-0.937871269,-0.932957893,0.835787915,0.836259629,0.839954992,0.740440953,0.960605788,0.962241642,0.972863134,0.912344662,-0.487570657,-0.47441985,-0.395610711,-0.566301582,-0.754872889,-0.768590449,-0.710549724,-0.815950941,-0.852731616,-0.854776071,-0.783427169,-0.887062167,0.319682686,0.297518972,0.344491009,0.232111294,0.048758596,0.0367085,0.155704129,-0.044109751,-0.96140104,-0.955003795,-0.943907887,-0.941522425,-0.860352757,-0.849312383,-0.828234864,-0.833249255,-0.652263173,-0.65173978,-0.739689799,-0.602189925,0.17929165,0.156792717,0.149579666,0.118689709,0.793562542,0.7901089,0.76468015,0.719310667,0.798870808,0.814895544,0.850177299,0.754377566,0.857783748,0.859497955,0.869820561,0.771563702,-0.797749725,-0.808558743,-0.742670961,-0.854260161,0,0,0,0
1011,1,11,0.983261067,0.967549691,0.948923964,0.963642722,-0.9895761,-0.995934819,-0.976374435,-0.96235258,-0.636391528,-0.588191468,-0.598258141,-0.666451856,0.188687312,0.214878006,0.115221529,0.037862334,-0.987250282,-0.989476614,-0.957389666,-0.94310433,-0.893970036,-0.917448113,-0.967220963,-0.961735238,-0.936497461,-0.9322018,-0.867028611,-0.846278167,-0.793909944,-0.836601537,-0.895422108,-0.868993684,0.643612782,0.595865031,0.60596201,0.673608974,-0.415826032,-0.468937039,-0.435500632,-0.353631683,-0.711428454,-0.662692171,-0.655447085,-0.716854952,0.409734067,0.468592688,0.452789846,0.371354276,0.106785187,0.175338487,0.176672543,0.089531064,-0.903656859,-0.906110002,-0.838446294,-0.807828496,0.974156288,0.95340401,0.912531083,0.92381616,0.95805921,0.97328138,0.950879789,0.924122867,-0.874279637,-0.899749189,-0.867565753,-0.823064083,-0.968005636,-0.958041828,-0.964686081,-0.983203871,-0.011279582,-0.073785799,-0.053358396,0.035956122,-0.708005213,-0.646940461,-0.502963594,-0.533319554
1013,1,13,0.902635893,0.871833343,0.926565591,0.664489872,0.915882421,0.891946573,0.868584134,0.569746544,-0.984966485,-0.969814631,-0.988159501,-0.656507036,-0.667935658,-0.680236654,-0.662814205,-0.214473953,0.937990908,0.930373573,0.908946725,0.507688613,-0.910427025,-0.887946835,-0.948751709,-0.633769888,-0.669029029,-0.662362575,-0.655551089,-0.47946916,-0.910198399,-0.896715372,-0.816765267,0.485300662,-0.007216918,-0.016005574,-0.413980356,-0.788478983,-0.80772418,-0.789903756,-0.778992474,0.292191876,0.882445284,0.869061996,0.866665964,-0.315906736,0,0,0,0,-0.525712789,-0.527724492,-0.825666895,-0.398081501,-0.965013458,-0.956303271,-0.874019898,0.52429759,0.735909173,0.751183149,0.895926006,-0.033351382,-0.331604318,-0.276418009,-0.397721874,-0.74135528,0.836179972,0.822798138,0.871485347,0.496514168,-0.543466671,-0.532284826,-0.591983228,-0.413474852,-0.870963122,-0.857766181,-0.876008141,0.269645045,0,0,0,0
1015,1,15,0.882947754,0.837750616,0.861547624,0.763985754,-0.816761088,-0.83107045,-0.752561603,-0.86012058,-0.925338495,-0.894652327,-0.928613158,-0.845404877,-0.782176126,-0.814265667,-0.704608425,-0.800511453,0.680564329,0.707852131,0.744902563,0.670357764,-0.579165078,-0.508143211,-0.553899826,-0.401712587,0.940302035,0.911912285,0.932310318,0.850887272,-0.879584579,-0.9096238,-0.916621165,-0.915016568,-0.917751379,-0.875222254,-0.76275582,-0.855439335,-0.931537827,-0.874614456,-0.736401026,-0.848695805,-0.973771169,-0.995631375,-0.986821358,-0.998891616,0.793392417,0.847743944,0.899314377,0.862657476,-0.964004032,-0.921338842,-0.805430731,-0.900601247,-0.39800163,-0.266382888,-0.028122386,-0.215093575,-0.952012409,-0.930419891,-0.851264045,-0.918270756,-0.760779771,-0.707757718,-0.745730808,-0.652686098,0.938015297,0.939703652,0.900070947,0.891953831,-0.440641136,-0.389265751,-0.310866148,-0.325471733,-0.944586385,-0.896284278,-0.772133439,-0.87370146,0,0,0,0
1017,1,17,0.535075814,0.645674885,0.811009099,0.750796536,-0.602808402,-0.72932574,-0.884582572,-0.926071291,-0.921292336,-0.954699206,-0.907934325,-0.895048656,-0.790665431,-0.852461529,-0.838507754,-0.812728462,0.615523849,0.702454351,0.85503099,0.752151371,0.620440438,0.670346534,0.73776301,0.750954241,0.872172226,0.940116422,0.928794783,0.897072016,0.591365542,0.629502171,0.527921878,0.105631098,0.10356006,0.005512115,-0.416819051,-0.773008218,-0.602899702,-0.719882055,-0.972366714,-0.899830484,-0.837876404,-0.896143939,-0.962022885,-0.900129304,0.081849698,0.193066846,0.60842219,0.890272736,-0.030335074,-0.108673904,-0.45932575,-0.808547871,-0.488318168,-0.601896241,-0.911481512,-0.991283307,-0.027224191,0.008443106,-0.017833976,-0.373878826,-0.219025003,-0.254762973,-0.227595864,-0.411584678,0.630753001,0.752291581,0.904372288,0.830774628,0.49550277,0.575914667,0.778079258,0.7040516,-0.43749274,-0.545260791,-0.862617665,-0.995835144,0,0,0,0
1019,1,19,0.802477469,0.857709894,0.940782409,0.706145718,0.618258494,0.537359709,0.130676728,0.308292125,-0.465939602,-0.502581976,-0.379715793,-0.411552816,-0.704512036,-0.715538852,-0.822509886,-0.671024749,0.740336642,0.819357823,0.834962794,0.70247913,0.978022759,0.942316284,0.762915608,0.786198257,0.922262028,0.940071413,0.972277597,0.780340217,0.013139841,-0.028400514,0.645560436,-0.227321104,0.329929049,0.292581745,0.231543801,0.915040315,-0.83091682,-0.849310547,-0.521142959,-0.112764726,0.032386269,0.020877534,0.448941581,-0.474653407,-0.932527024,-0.93240873,-0.450545377,-0.779056273,-0.090629195,-0.029088627,-0.343825474,-0.822466914,-0.990542707,-0.998311028,-0.532725989,-0.574195871,-0.521864213,-0.513698457,-0.673243604,0.114568818,0.961584177,0.976549193,0.911683251,0.726589369,0.803660586,0.853056349,0.951519852,0.750619357,0.977283372,0.985651609,0.863223424,0.813651833,-0.962865468,-0.98126058,-0.457550259,-0.439147081,0,0,0,0
