fips,state_fips_code,county_fips_code,Unemployment_rate_grams_oxy,Unemployment_rate_grams_hydro,median_household_income_grams_oxy,median_household_income_grams_hydro,median_home_value_grams_oxy,median_home_value_grams_hydro,median_monthly_housing_costs_grams_oxy,median_monthly_housing_costs_grams_hydro,indiv_in_poverty_grams_oxy,indiv_in_poverty_grams_hydro,indiv_in_school_grams_oxy,indiv_in_school_grams_hydro,num_veterans_grams_oxy,num_veterans_grams_hydro,violent_crime_for_county_grams_oxy,violent_crime_for_county_grams_hydro,nonviolent_crime_for_county_grams_oxy,nonviolent_crime_for_county_grams_hydro,housing_units_grams_oxy,housing_units_grams_hydro,num_homes_with_mortgage_grams_oxy,num_homes_with_mortgage_grams_hydro,num_degree_holders_grams_oxy,num_degree_holders_grams_hydro,pop_nonwhite_grams_oxy,pop_nonwhite_grams_hydro,est_total_bedrooms_grams_oxy,est_total_bedrooms_grams_hydro,pop_labor_jobs_grams_oxy,pop_labor_jobs_grams_hydro,Opioid_death_Crude_Rate_grams_oxy,Opioid_death_Crude_Rate_grams_hydro
1001,1,1,0.777246041,0.419102143,0.956482793,0.634999572,0.966123529,0.734055633,0.982636829,0.673458662,0.167820658,0.500768972,0.941870385,0.581600173,-0.054226606,0.143328383,0.214297207,0.686952139,-0.840881269,-0.335504711,0.725379057,0.366695434,0.81363734,0.815694561,0.719845755,0.766761667,0.936533379,0.854246504,0.885338347,0.611249747,-0.859116611,-0.259982182,,
1003,1,3,0.662204888,0.740069528,0.715373941,0.835861148,0.317196326,0.464208808,0.890804258,0.914013775,0.897264925,0.817451304,-0.710383361,-0.832766057,-0.961162566,-0.99257259,0.360092127,0.468531853,-0.885639844,-0.82497268,0.70871869,0.846328305,-0.859133101,-0.957670893,0.744585313,0.634336577,0.817691833,0.923592661,-0.507446977,-0.69853929,-0.958198508,-0.945550714,-0.704409934,-0.562337257
1005,1,5,0.629519437,0.611866367,0.087269027,0.370512914,0.760354211,0.888620766,0.78913344,0.955928736,0.792619675,0.63814617,0.205681068,0.119189826,-0.286718258,-0.190467727,0.3118102,0.048067398,-0.837683317,-0.935176734,0.89014712,0.933784552,0.008610325,0.308792757,0.971275414,0.937358784,0.884017325,0.938766958,0.663022504,0.803536472,-0.977588236,-0.873049185,,
1007,1,7,0.365163483,0.517604249,-0.438858138,-0.026814265,0.796573765,0.6103935,0.920485538,0.869061247,0.907131261,0.872446793,0.479840087,0.506185209,-0.969205679,-0.602729343,0.520424296,0.187068693,-0.698802413,-0.663971302,0.718047004,0.642885808,0.571750988,0.727295192,0.537789979,0.800820163,0.476191928,0.262803642,0.517214343,0.656532342,-0.96151186,-0.864463251,,
1009,1,9,0.456854423,0.563683797,-0.155893962,-0.02008445,0.863321758,0.896938907,0.932725213,0.972426741,0.886239377,0.915231807,-0.395036989,-0.456813861,0.890492602,0.868652976,0.326755917,0.237717013,-0.853459343,-0.881526518,0.824478242,0.870430556,0.810579803,0.834939353,0.793562542,0.76468015,0.798870808,0.850177299,0.857783748,0.869820561,-0.797749725,-0.742670961,,
1011,1,11,-0.899333396,-0.823959464,0.936435595,0.908378953,0.959842063,0.886360586,0.918840797,0.917353891,-0.770463883,-0.831210831,-0.988564883,-0.992022017,-0.962310003,-0.978804645,-0.628777397,-0.763035143,0.874747127,0.78109495,0.983261067,0.948923964,-0.9895761,-0.976374435,0.95805921,0.950879789,-0.874279637,-0.867565753,-0.968005636,-0.964686081,-0.011279582,-0.053358396,-0.708005213,-0.502963594
1013,1,13,0.521358279,0.627624066,-0.649138123,-0.666847538,0.791528223,0.762555358,0.916858245,0.950119894,0.902397216,0.946877157,0.567749355,0.714457111,-0.294931035,-0.608781917,0.334681016,0.180291557,-0.809571704,-0.851332021,0.902635893,0.926565591,0.915882421,0.868584134,-0.331604318,-0.397721874,0.836179972,0.871485347,-0.543466671,-0.591983228,-0.870963122,-0.876008141,,
1015,1,15,0.760380052,0.682610075,0.886194947,0.923071395,0.81838008,0.774948082,0.940515362,0.889060264,0.858877913,0.824379483,0.255758091,0.210782866,-0.918018833,-0.878527009,0.423914263,0.584309446,-0.856133037,-0.759800645,0.882947754,0.861547624,-0.816761088,-0.752561603,-0.760779771,-0.745730808,0.938015297,0.900070947,-0.440641136,-0.310866148,-0.944586385,-0.772133439,,
1017,1,17,-0.081251727,0.113635526,-0.382189124,-0.646039703,-0.060577646,-0.404046225,0.501962544,0.626648861,0.677908123,0.966167548,-0.183262409,-0.330505045,0.165608945,0.05583134,0.171682131,0.137916617,-0.552458022,-0.858443155,0.535075814,0.811009099,-0.602808402,-0.884582572,-0.219025003,-0.227595864,0.630753001,0.904372288,0.49550277,0.778079258,-0.43749274,-0.862617665,,
1019,1,19,0.468762687,0.754506292,-0.59073551,-0.30992884,0.826442463,0.880256966,0.974853082,0.753807564,0.880846062,0.590172896,-0.472081805,-0.173940425,-0.059201187,-0.407661415,0.288264014,0.365795073,-0.853293006,-0.776789078,0.802477469,0.940782409,0.618258494,0.130676728,0.961584177,0.911683251,0.803660586,0.951519852,0.977283372,0.863223424,-0.962865468,-0.457550259,,
1021,1,21,0.41935077,0.554816416,0.926912792,0.968745229,-0.166629125,-0.014204131,0.767034526,0.850014284,0.407452178,0.424310715,0.111511867,0.282616909,-0.78308437,-0.883682707,-0.84828114,-0.898138197,-0.874599102,-0.899519812,0.63437261,0.73220484,-0.882786047,-0.872975191,0.449022978,0.378767922,0.873429831,0.881567928,0.894612053,0.899862601,0.416371377,0.522558735,,
1023,1,23,-0.49642737,-0.611133778,0.948666902,0.972262426,-0.49469428,-0.454831418,0.59827354,0.797897785,-0.681561084,-0.485384406,0.616726198,0.664683455,-0.73744796,-0.961177631,-0.84305983,-0.78304482,-0.979641806,-0.905260504,0.862775258,0.983046735,0.824771686,0.989711436,0.826899592,0.593135208,0.035777281,0.452219535,0.20393528,0.486373546,-0.585310183,-0.61215512,,
1025,1,25,0.794456765,0.623955902,0.74554916,0.912405117,0.061895664,-0.255758327,0.866580635,0.924721873,0.167839782,0.326930309,0.540842208,0.222887782,-0.826703264,-0.856071596,-0.935437558,-0.914633643,-0.944062947,-0.938771762,0.861974432,0.710885271,-0.901763625,-0.897373535,-0.052497307,0.23632757,0.910137495,0.967868174,0.378314274,0.34651243,-0.732045178,-0.998750101,-0.793361192,-0.636472178
1027,1,27,-0.904393741,-0.888406777,-0.94283246,-0.837249931,-0.371802039,-0.218326582,0.225763743,0.398321086,0.998365505,0.971106823,0.897533372,0.885218759,-0.871423187,-0.958866582,-0.79089461,-0.778300229,-0.920879054,-0.854545467,0.997139615,0.951360464,-0.914567512,-0.793311338,-0.453628275,-0.542444578,0.969878435,0.928286636,0.976430375,0.960262586,-0.759289229,-0.839681577,,
