,year,fips,state_fips_code,county_fips_code,area_name,pred_grams_hydro
1,2013,12033,12,33,"Escambia County, Florida",50476.79517
2,2013,12053,12,53,"Hernando County, Florida",35851.08071
3,2013,12057,12,57,"Hillsborough County, Florida",110162.1954
4,2013,12091,12,91,"Okaloosa County, Florida",24659.62138
5,2013,12123,12,123,"Taylor County, Florida",6109.449713
6,2013,12129,12,129,"Wakulla County, Florida",3426.74649
7,2013,13187,13,187,"Lumpkin County, Georgia",6310.290735
8,2013,13189,13,189,"McDuffie County, Georgia",3959.310101
9,2013,13201,13,201,"Miller County, Georgia",1376.319445
10,2013,13211,13,211,"Morgan County, Georgia",5426.998207
11,2013,13149,13,149,"Heard County, Georgia",3808.381235
12,2013,13219,13,219,"Oconee County, Georgia",3146.887488
13,2013,13095,13,95,"Dougherty County, Georgia",18144.67247
14,2013,13111,13,111,"Fannin County, Georgia",8040.715338
15,2013,13151,13,151,"Henry County, Georgia",27538.58878
16,2013,13153,13,153,"Houston County, Georgia",22526.69377
17,2013,13175,13,175,"Laurens County, Georgia",11792.02379
18,2013,13183,13,183,"Long County, Georgia",3414.886498
19,2013,13255,13,255,"Spalding County, Georgia",11941.10678
20,2013,13257,13,257,"Stephens County, Georgia",8964.162638
21,2013,13271,13,271,"Telfair County, Georgia",4582.401953
22,2013,13293,13,293,"Upson County, Georgia",7097.763885
23,2013,13303,13,303,"Washington County, Georgia",4061.997353
24,2013,13225,13,225,"Peach County, Georgia",4940.323769
25,2013,13229,13,229,"Pierce County, Georgia",5280.227887
26,2013,13231,13,231,"Pike County, Georgia",2111.981522
27,2013,13251,13,251,"Screven County, Georgia",3698.687984
28,2013,13267,13,267,"Tattnall County, Georgia",4502.558095
29,2013,13295,13,295,"Walker County, Georgia",15196.41885
30,2013,13135,13,135,"Gwinnett County, Georgia",61674.1663
31,2013,13049,13,49,"Charlton County, Georgia",3020.186888
32,2013,13015,13,15,"Bartow County, Georgia",26893.75942
33,2013,13097,13,97,"Douglas County, Georgia",19919.04934
34,2013,13161,13,161,"Jeff Davis County, Georgia",4046.863721
35,2013,13141,13,141,"Hancock County, Georgia",3901.043127
36,2013,13037,13,37,"Calhoun County, Georgia",3869.698376
37,2013,13285,13,285,"Troup County, Georgia",11905.16272
38,2013,13197,13,197,"Marion County, Georgia",2788.404174
39,2013,13249,13,249,"Schley County, Georgia",1666.18654
40,2013,13023,13,23,"Bleckley County, Georgia",3616.194048
41,2013,13109,13,109,"Evans County, Georgia",2647.787614
42,2013,13119,13,119,"Franklin County, Georgia",6321.48021
43,2013,13103,13,103,"Effingham County, Georgia",8118.859842
44,2013,13171,13,171,"Lamar County, Georgia",4521.186679
45,2013,13107,13,107,"Emanuel County, Georgia",7583.829516
46,2013,13239,13,239,"Quitman County, Georgia",1802.157734
47,2013,13159,13,159,"Jasper County, Georgia",3638.873263
48,2013,13173,13,173,"Lanier County, Georgia",2121.880275
49,2013,13179,13,179,"Liberty County, Georgia",9340.587044
