,year,fips,state_fips_code,county_fips_code,area_name,pred_grams_oxy
1,2013,12033,12,33,"Escambia County, Florida",46518.27266
2,2013,12053,12,53,"Hernando County, Florida",53458.40786
3,2013,12057,12,57,"Hillsborough County, Florida",372896.627
4,2013,12091,12,91,"Okaloosa County, Florida",29786.19407
5,2013,12123,12,123,"Taylor County, Florida",3466.613634
6,2013,12129,12,129,"Wakulla County, Florida",4725.759733
7,2013,13187,13,187,"Lumpkin County, Georgia",8622.400214
8,2013,13189,13,189,"McDuffie County, Georgia",3419.91645
9,2013,13201,13,201,"Miller County, Georgia",841.7950777
10,2013,13211,13,211,"Morgan County, Georgia",4044.256165
11,2013,13149,13,149,"Heard County, Georgia",2809.160983
12,2013,13219,13,219,"Oconee County, Georgia",3256.983883
13,2013,13095,13,95,"Dougherty County, Georgia",23370.22636
14,2013,13111,13,111,"Fannin County, Georgia",6939.642281
15,2013,13151,13,151,"Henry County, Georgia",40375.3164
16,2013,13153,13,153,"Houston County, Georgia",24737.09521
17,2013,13175,13,175,"Laurens County, Georgia",9292.245501
18,2013,13183,13,183,"Long County, Georgia",3054.201822
19,2013,13255,13,255,"Spalding County, Georgia",10094.52227
20,2013,13257,13,257,"Stephens County, Georgia",6503.086381
21,2013,13271,13,271,"Telfair County, Georgia",1893.451676
22,2013,13293,13,293,"Upson County, Georgia",4565.611581
23,2013,13303,13,303,"Washington County, Georgia",3115.670836
24,2013,13225,13,225,"Peach County, Georgia",7117.824546
25,2013,13229,13,229,"Pierce County, Georgia",2759.227555
26,2013,13231,13,231,"Pike County, Georgia",18571.59513
27,2013,13251,13,251,"Screven County, Georgia",2673.012678
28,2013,13267,13,267,"Tattnall County, Georgia",2767.716845
29,2013,13295,13,295,"Walker County, Georgia",18431.98824
30,2013,13135,13,135,"Gwinnett County, Georgia",93969.30051
31,2013,13049,13,49,"Charlton County, Georgia",1433.278118
32,2013,13015,13,15,"Bartow County, Georgia",20873.46685
33,2013,13097,13,97,"Douglas County, Georgia",30071.88346
34,2013,13161,13,161,"Jeff Davis County, Georgia",2818.958956
35,2013,13141,13,141,"Hancock County, Georgia",2216.521341
36,2013,13037,13,37,"Calhoun County, Georgia",471.5410885
37,2013,13285,13,285,"Troup County, Georgia",10608.26015
38,2013,13197,13,197,"Marion County, Georgia",1868.463826
39,2013,13249,13,249,"Schley County, Georgia",1348.654592
40,2013,13023,13,23,"Bleckley County, Georgia",2196.188459
41,2013,13109,13,109,"Evans County, Georgia",2443.571793
42,2013,13119,13,119,"Franklin County, Georgia",6803.802689
43,2013,13103,13,103,"Effingham County, Georgia",7630.645823
44,2013,13171,13,171,"Lamar County, Georgia",3954.906909
45,2013,13107,13,107,"Emanuel County, Georgia",4353.019934
46,2013,13239,13,239,"Quitman County, Georgia",687.0744624
47,2013,13159,13,159,"Jasper County, Georgia",2850.222448
48,2013,13173,13,173,"Lanier County, Georgia",2696.895318
49,2013,13179,13,179,"Liberty County, Georgia",9163.008587
50,2013,13205,13,205,"Mitchell County, Georgia",3085.510206
51,2013,13253,13,253,"Seminole County, Georgia",1004.205948
52,2013,13289,13,289,"Twiggs County, Georgia",1278.952832
53,2013,13233,13,233,"Polk County, Georgia",9478.438819
54,2013,13269,13,269,"Taylor County, Georgia",1345.312211
55,2013,13275,13,275,"Thomas County, Georgia",6169.764651
56,2013,13279,13,279,"Toombs County, Georgia",3322.71199
57,2013,13209,13,209,"Montgomery County, Georgia",1007.397825
58,2013,13221,13,221,"Oglethorpe County, Georgia",2300.267199
59,2013,13247,13,247,"Rockdale County, Georgia",24161.48417
60,2013,13305,13,305,"Wayne County, Georgia",5337.499317
61,2013,13309,13,309,"Wheeler County, Georgia",2367.975978
62,2013,13009,13,9,"Baldwin County, Georgia",5947.951524
63,2013,18061,18,61,"Harrison County, Indiana",6253.95799
64,2013,18169,18,169,"Wabash County, Indiana",4106.611808
65,2013,18075,18,75,"Jay County, Indiana",4418.316933
66,2013,18127,18,127,"Porter County, Indiana",30757.8271
67,2013,18147,18,147,"Spencer County, Indiana",6272.08987
68,2013,18157,18,157,"Tippecanoe County, Indiana",19775.28188
69,2013,18057,18,57,"Hamilton County, Indiana",51941.34664
70,2013,18087,18,87,"LaGrange County, Indiana",4046.930013
71,2013,18011,18,11,"Boone County, Indiana",7820.610502
72,2013,18107,18,107,"Montgomery County, Indiana",6022.540326
73,2013,18019,18,19,"Clark County, Indiana",16818.39865
74,2013,18021,18,21,"Clay County, Indiana",6133.664631
75,2013,18047,18,47,"Franklin County, Indiana",5217.521782
76,2013,18071,18,71,"Jackson County, Indiana",5513.401196
77,2013,18129,18,129,"Posey County, Indiana",5656.902943
78,2013,18165,18,165,"Vermillion County, Indiana",2655.511016
79,2013,18003,18,3,"Allen County, Indiana",57016.11583
80,2013,18043,18,43,"Floyd County, Indiana",16341.34324
81,2013,18081,18,81,"Johnson County, Indiana",19475.50415
82,2013,18051,18,51,"Gibson County, Indiana",3598.117623
83,2013,18117,18,117,"Orange County, Indiana",5204.751924
84,2013,18099,18,99,"Marshall County, Indiana",6087.943367
85,2013,18009,18,9,"Blackford County, Indiana",2051.596913
86,2013,18143,18,143,"Scott County, Indiana",6188.566377
87,2013,18039,18,39,"Elkhart County, Indiana",24674.89429
88,2013,18017,18,17,"Cass County, Indiana",4975.846879
89,2013,13021,13,21,"Bibb County, Georgia",49831.88732
90,2013,18177,18,177,"Wayne County, Indiana",15269.389
91,2013,19023,19,23,"Butler County, Iowa",1136.335235
92,2013,19079,19,79,"Hamilton County, Iowa",1746.77223
93,2013,19175,19,175,"Union County, Iowa",1424.217028
94,2013,19195,19,195,"Worth County, Iowa",1149.89126
95,2013,19001,19,1,"Adair County, Iowa",387.5476628
96,2013,19037,19,37,"Chickasaw County, Iowa",1391.95161
97,2013,19059,19,59,"Dickinson County, Iowa",7325.182637
98,2013,19069,19,69,"Franklin County, Iowa",1318.027074
99,2013,19031,19,31,"Cedar County, Iowa",1275.092038
100,2013,19067,19,67,"Floyd County, Iowa",1464.752344
101,2013,19115,19,115,"Louisa County, Iowa",2868.508272
102,2013,19091,19,91,"Humboldt County, Iowa",978.7852817
103,2013,19183,19,183,"Washington County, Iowa",2289.159461
104,2013,19035,19,35,"Cherokee County, Iowa",1029.563241
105,2013,19057,19,57,"Des Moines County, Iowa",4455.150218
106,2013,19109,19,109,"Kossuth County, Iowa",977.6365591
107,2013,19139,19,139,"Muscatine County, Iowa",3444.646666
108,2013,19153,19,153,"Polk County, Iowa",80955.53408
109,2013,19107,19,107,"Keokuk County, Iowa",1001.710332
110,2013,19171,19,171,"Tama County, Iowa",3369.117103
111,2013,21225,21,225,"Union County, Kentucky",2587.101125
112,2013,21035,21,35,"Calloway County, Kentucky",6059.242175
113,2013,13011,13,11,"Banks County, Georgia",3303.171154
114,2013,13031,13,31,"Bulloch County, Georgia",16619.74405
115,2013,13059,13,59,"Clarke County, Georgia",28361.70131
116,2013,13061,13,61,"Clay County, Georgia",952.9563021
117,2013,13101,13,101,"Echols County, Georgia",1202.850804
118,2013,13127,13,127,"Glynn County, Georgia",21910.54171
119,2013,13089,13,89,"DeKalb County, Georgia",97711.12533
120,2013,13143,13,143,"Haralson County, Georgia",11996.50618
121,2013,13157,13,157,"Jackson County, Georgia",9420.747196
122,2013,13163,13,163,"Jefferson County, Georgia",1651.865669
123,2013,13169,13,169,"Jones County, Georgia",4132.365078
124,2013,13181,13,181,"Lincoln County, Georgia",1573.806286
125,2013,13213,13,213,"Murray County, Georgia",7562.883667
126,2013,13215,13,215,"Muscogee County, Georgia",40816.21823
127,2013,13235,13,235,"Pulaski County, Georgia",1427.134068
128,2013,13241,13,241,"Rabun County, Georgia",5452.705362
129,2013,13259,13,259,"Stewart County, Georgia",570.5793043
130,2013,13281,13,281,"Towns County, Georgia",2418.10369
131,2013,13283,13,283,"Treutlen County, Georgia",1534.227978
132,2013,13287,13,287,"Turner County, Georgia",2087.199913
133,2013,13003,13,3,"Atkinson County, Georgia",2362.039206
134,2013,13001,13,1,"Appling County, Georgia",2535.464858
135,2013,13025,13,25,"Brantley County, Georgia",5227.611473
136,2013,13017,13,17,"Ben Hill County, Georgia",2847.382115
137,2013,13047,13,47,"Catoosa County, Georgia",7839.207715
138,2013,13055,13,55,"Chattooga County, Georgia",4345.721399
139,2013,13073,13,73,"Columbia County, Georgia",22602.68789
140,2013,13115,13,115,"Floyd County, Georgia",22872.52196
141,2013,13117,13,117,"Forsyth County, Georgia",39987.84626
142,2013,13147,13,147,"Hart County, Georgia",5150.027233
143,2013,13185,13,185,"Lowndes County, Georgia",20346.80469
144,2013,13199,13,199,"Meriwether County, Georgia",2655.450213
145,2013,13237,13,237,"Putnam County, Georgia",4565.116058
146,2013,13261,13,261,"Sumter County, Georgia",4308.646388
147,2013,13301,13,301,"Warren County, Georgia",1476.514973
148,2013,13007,13,7,"Baker County, Georgia",467.4196733
149,2013,13035,13,35,"Butts County, Georgia",7827.224652
150,2013,13043,13,43,"Candler County, Georgia",2140.601596
151,2013,13045,13,45,"Carroll County, Georgia",25865.04188
152,2013,13099,13,99,"Early County, Georgia",2395.755552
153,2013,13081,13,81,"Crisp County, Georgia",5673.438896
154,2013,13077,13,77,"Coweta County, Georgia",23641.57072
155,2013,13067,13,67,"Cobb County, Georgia",106622.0848
156,2013,13083,13,83,"Dade County, Georgia",4181.932103
157,2013,13317,13,317,"Wilkes County, Georgia",1510.89747
158,2013,13027,13,27,"Brooks County, Georgia",3703.04147
159,2013,13129,13,129,"Gordon County, Georgia",6984.423693
160,2013,13105,13,105,"Elbert County, Georgia",2812.055974
161,2013,13165,13,165,"Jenkins County, Georgia",2021.072404
162,2013,13217,13,217,"Newton County, Georgia",24378.62788
163,2013,13133,13,133,"Greene County, Georgia",4379.586627
164,2013,13071,13,71,"Colquitt County, Georgia",4200.562211
165,2013,13085,13,85,"Dawson County, Georgia",8840.804313
166,2013,13063,13,63,"Clayton County, Georgia",22113.03592
167,2013,13139,13,139,"Hall County, Georgia",31390.38595
168,2013,15003,15,3,"Honolulu County, Hawaii",172205.9701
169,2013,15009,15,9,"Maui County, Hawaii",34870.00344
170,2013,16071,16,71,"Oneida County, Idaho",512.8947088
171,2013,16045,16,45,"Gem County, Idaho",2746.259685
172,2013,16085,16,85,"Valley County, Idaho",2088.294755
173,2013,16003,16,3,"Adams County, Idaho",811.3436106
174,2013,19193,19,193,"Woodbury County, Iowa",8558.199231
175,2013,19097,19,97,"Jackson County, Iowa",1860.545323
176,2013,19111,19,111,"Lee County, Iowa",5250.867787
177,2013,19181,19,181,"Warren County, Iowa",6430.188212
178,2013,19149,19,149,"Plymouth County, Iowa",1421.926723
179,2013,19041,19,41,"Clay County, Iowa",1605.622888
180,2013,19055,19,55,"Delaware County, Iowa",730.1728283
181,2013,19185,19,185,"Wayne County, Iowa",620.4645973
182,2013,19163,19,163,"Scott County, Iowa",20681.52437
183,2013,20181,20,181,"Sherman County, Kansas",1068.421765
184,2013,20193,20,193,"Thomas County, Kansas",1097.125938
185,2013,20127,20,127,"Morris County, Kansas",876.1649066
186,2013,20163,20,163,"Rooks County, Kansas",711.7261592
187,2013,20025,20,25,"Clark County, Kansas",507.6825713
188,2013,20077,20,77,"Harper County, Kansas",628.1736379
189,2013,20111,20,111,"Lyon County, Kansas",3921.837135
190,2013,20145,20,145,"Pawnee County, Kansas",915.0752836
191,2013,20033,20,33,"Comanche County, Kansas",1261.790044
192,2013,20063,20,63,"Gove County, Kansas",357.8060376
193,2013,20079,20,79,"Harvey County, Kansas",3121.543842
194,2013,20069,20,69,"Gray County, Kansas",879.4296763
195,2013,20017,20,17,"Chase County, Kansas",297.0568744
196,2013,20067,20,67,"Grant County, Kansas",1191.3994
197,2013,20109,20,109,"Logan County, Kansas",333.5491516
198,2013,20149,20,149,"Pottawatomie County, Kansas",4296.652828
199,2013,20015,20,15,"Butler County, Kansas",7399.870968
200,2013,20169,20,169,"Saline County, Kansas",6419.086762
201,2013,20197,20,197,"Wabaunsee County, Kansas",649.3869614
202,2013,13113,13,113,"Fayette County, Georgia",32238.55643
203,2013,20207,20,207,"Woodson County, Kansas",497.5849668
204,2013,20141,20,141,"Osborne County, Kansas",336.8815734
205,2013,20055,20,55,"Finney County, Kansas",7086.600233
206,2013,20097,20,97,"Kiowa County, Kansas",294.1480241
207,2013,20201,20,201,"Washington County, Kansas",344.6048094
208,2013,20129,20,129,"Morton County, Kansas",394.3290733
209,2013,20009,20,9,"Barton County, Kansas",4378.525763
210,2013,20043,20,43,"Doniphan County, Kansas",657.1873625
211,2013,20101,20,101,"Lane County, Kansas",1502.367517
212,2013,20115,20,115,"Marion County, Kansas",1126.068409
213,2013,20013,20,13,"Brown County, Kansas",1329.618333
214,2013,20161,20,161,"Riley County, Kansas",15923.27092
215,2013,20041,20,41,"Dickinson County, Kansas",3348.464883
216,2013,21079,21,79,"Garrard County, Kentucky",4966.371679
217,2013,21037,21,37,"Campbell County, Kentucky",16046.21918
218,2013,21081,21,81,"Grant County, Kentucky",5381.858033
219,2013,21141,21,141,"Logan County, Kentucky",5334.62574
220,2013,21167,21,167,"Mercer County, Kentucky",6306.167266
221,2013,17009,17,9,"Brown County, Illinois",595.98133
222,2013,17123,17,123,"Marshall County, Illinois",1411.875037
223,2013,17021,17,21,"Christian County, Illinois",4468.278962
224,2013,17077,17,77,"Jackson County, Illinois",7405.519753
225,2013,17181,17,181,"Union County, Illinois",2575.58878
226,2013,17165,17,165,"Saline County, Illinois",4145.232688
227,2013,17195,17,195,"Whiteside County, Illinois",6152.922241
228,2013,17037,17,37,"DeKalb County, Illinois",21101.04678
229,2013,17079,17,79,"Jasper County, Illinois",1257.004197
230,2013,17197,17,197,"Will County, Illinois",75485.26532
231,2013,17041,17,41,"Douglas County, Illinois",2305.715641
232,2013,17061,17,61,"Greene County, Illinois",1371.810093
233,2013,17069,17,69,"Hardin County, Illinois",1127.761193
234,2013,17095,17,95,"Knox County, Illinois",5216.449844
235,2013,17127,17,127,"Massac County, Illinois",2211.251901
236,2013,17089,17,89,"Kane County, Illinois",70724.64457
237,2013,6073,6,73,"San Diego County, California",419657.0805
238,2013,6107,6,107,"Tulare County, California",58526.20841
239,2013,6113,6,113,"Yolo County, California",26548.26406
240,2013,6023,6,23,"Humboldt County, California",34317.22361
241,2013,6057,6,57,"Nevada County, California",25525.43339
242,2013,6003,6,3,"Alpine County, California",454.5343954
243,2013,6039,6,39,"Madera County, California",21214.32361
244,2013,6045,6,45,"Mendocino County, California",21719.24363
245,2013,6087,6,87,"Santa Cruz County, California",40416.88916
246,2013,6105,6,105,"Trinity County, California",4876.765048
247,2013,6037,6,37,"Los Angeles County, California",633105.0883
248,2013,6065,6,65,"Riverside County, California",378886.087
249,2013,6071,6,71,"San Bernardino County, California",473117.5393
250,2013,6085,6,85,"Santa Clara County, California",171473.3489
251,2013,6041,6,41,"Marin County, California",44279.23809
252,2013,6061,6,61,"Placer County, California",93134.61926
253,2013,6093,6,93,"Siskiyou County, California",11877.98378
254,2013,6089,6,89,"Shasta County, California",44495.51142
255,2013,6095,6,95,"Solano County, California",85765.09438
256,2013,6015,6,15,"Del Norte County, California",6298.51816
257,2013,6021,6,21,"Glenn County, California",4922.280351
258,2013,6007,6,7,"Butte County, California",50349.28155
259,2013,6063,6,63,"Plumas County, California",5988.72153
260,2013,6079,6,79,"San Luis Obispo County, California",51860.54743
261,2013,6029,6,29,"Kern County, California",96023.23686
262,2013,6111,6,111,"Ventura County, California",116191.2264
263,2013,6009,6,9,"Calaveras County, California",11487.71753
264,2013,6081,6,81,"San Mateo County, California",90950.58502
265,2013,6109,6,109,"Tuolumne County, California",16001.70007
266,2013,6005,6,5,"Amador County, California",9450.216625
267,2013,8095,8,95,"Phillips County, Colorado",1265.147008
268,2013,8031,8,31,"Denver County, Colorado",111414.8974
269,2013,8061,8,61,"Kiowa County, Colorado",424.7145368
270,2013,8009,8,9,"Baca County, Colorado",438.1761396
271,2013,8047,8,47,"Gilpin County, Colorado",1012.077092
272,2013,8063,8,63,"Kit Carson County, Colorado",953.9432934
273,2013,8051,8,51,"Gunnison County, Colorado",8799.843769
274,2013,8059,8,59,"Jefferson County, Colorado",152572.7028
275,2013,8091,8,91,"Ouray County, Colorado",3150.548911
276,2013,8103,8,103,"Rio Blanco County, Colorado",904.2872808
277,2013,8123,8,123,"Weld County, Colorado",53304.56716
278,2013,8021,8,21,"Conejos County, Colorado",1614.742373
279,2013,8023,8,23,"Costilla County, Colorado",993.8248188
280,2013,8067,8,67,"La Plata County, Colorado",6483.127664
281,2013,8081,8,81,"Moffat County, Colorado",2075.050297
282,2013,8105,8,105,"Rio Grande County, Colorado",3900.136926
283,2013,8011,8,11,"Bent County, Colorado",881.4307711
284,2013,8025,8,25,"Crowley County, Colorado",1103.145217
285,2013,8111,8,111,"San Juan County, Colorado",1107.934589
286,2013,8057,8,57,"Jackson County, Colorado",1529.327254
287,2013,8075,8,75,"Logan County, Colorado",2623.347002
288,2013,8083,8,83,"Montezuma County, Colorado",6415.211384
289,2013,8119,8,119,"Teller County, Colorado",9421.441518
290,2013,8013,8,13,"Boulder County, Colorado",70020.747
291,2013,8071,8,71,"Las Animas County, Colorado",3023.647579
292,2013,8073,8,73,"Lincoln County, Colorado",862.5081414
293,2013,8107,8,107,"Routt County, Colorado",3387.677773
294,2013,8003,8,3,"Alamosa County, Colorado",3644.896969
295,2013,8019,8,19,"Clear Creek County, Colorado",1721.112631
296,2013,8043,8,43,"Fremont County, Colorado",10822.6782
297,2013,17179,17,179,"Tazewell County, Illinois",14438.18321
298,2013,8035,8,35,"Douglas County, Colorado",61557.71933
299,2013,8037,8,37,"Eagle County, Colorado",10184.27691
300,2013,8101,8,101,"Pueblo County, Colorado",66181.69835
301,2013,8085,8,85,"Montrose County, Colorado",8596.828843
302,2013,8087,8,87,"Morgan County, Colorado",4036.237184
303,2013,8093,8,93,"Park County, Colorado",1506.959161
304,2013,8109,8,109,"Saguache County, Colorado",1722.515203
305,2013,8077,8,77,"Mesa County, Colorado",27310.39681
306,2013,8099,8,99,"Prowers County, Colorado",2407.977266
307,2013,8053,8,53,"Hinsdale County, Colorado",903.0459922
308,2013,8041,8,41,"El Paso County, Colorado",131053.6975
309,2013,8121,8,121,"Washington County, Colorado",2072.746026
310,2013,8049,8,49,"Grand County, Colorado",2505.387207
311,2013,8005,8,5,"Arapahoe County, Colorado",162434.187
312,2013,8089,8,89,"Otero County, Colorado",7984.825864
313,2013,8014,8,14,"Broomfield County, Colorado",10098.69706
314,2013,10003,10,3,"New Castle County, Delaware",153167.3761
315,2013,10005,10,5,"Sussex County, Delaware",119099.1499
316,2013,10001,10,1,"Kent County, Delaware",45336.38062
317,2013,11001,11,1,"District of Columbia, District of Columbia",119419.9246
318,2013,9009,9,9,"New Haven County, Connecticut",197405.55
319,2013,9005,9,5,"Litchfield County, Connecticut",44163.94778
320,2013,9003,9,3,"Hartford County, Connecticut",217195.1971
321,2013,9011,9,11,"New London County, Connecticut",65932.45932
322,2013,9013,9,13,"Tolland County, Connecticut",31324.51683
323,2013,9001,9,1,"Fairfield County, Connecticut",233659.199
324,2013,12031,12,31,"Duval County, Florida",169624.8768
325,2013,12007,12,7,"Bradford County, Florida",3670.735443
326,2013,12019,12,19,"Clay County, Florida",36936.76426
327,2013,12067,12,67,"Lafayette County, Florida",891.2070705
328,2013,12089,12,89,"Nassau County, Florida",28549.22209
329,2013,12103,12,103,"Pinellas County, Florida",366854.2141
330,2013,12111,12,111,"St. Lucie County, Florida",66103.25284
331,2013,12051,12,51,"Hendry County, Florida",5460.152515
332,2013,12061,12,61,"Indian River County, Florida",52006.4523
333,2013,12099,12,99,"Palm Beach County, Florida",502718.4571
