,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,FIPS
0,MN,55354,MCLEOD,27085
4,MN,56367,BENTON,27145
6,MO,64423,NODAWAY,29147
7,TN,37681,WASHINGTON,47179
8,NM,87313,MCKINLEY,35031
9,OH,45858,HANCOCK,39173
11,CT,6102,HARTFORD,9003
16,TX,78655,CALDWELL,48187
18,TX,78730,TRAVIS,48453
20,TN,37140,HICKMAN,47081
22,TX,76804,BROWN,48049
24,IN,46731,WELLS,18179
25,SC,29424,CHARLESTON,45019
27,NC,28310,CUMBERLAND,37051
31,TX,77289,HARRIS,48201
34,DC,20422,DISTRICT OF COLUMBIA,11001
35,MS,39360,CLARKE,28153
38,VT,5477,CHITTENDEN,50007
41,TN,38132,SHELBY,47157
43,VA,23708,PORTSMOUTH CITY,51740
44,LA,70562,IBERIA,22045
48,GA,30177,PICKENS,13227
49,WV,25266,ROANE,54087
50,GA,31905,MUSCOGEE,13215
51,NJ,8853,SOMERSET,34035
53,NC,27708,DURHAM,37063
56,NJ,7046,MORRIS,34027
59,PA,17607,LANCASTER,42071
61,OH,43540,FULTON,39051
65,NJ,7939,SOMERSET,34035
67,MD,20892,MONTGOMERY,24031
69,LA,71378,FRANKLIN,22041
70,TN,37665,SULLIVAN,47163
72,SD,57659,CORSON,46031
73,NC,28687,IREDELL,37097
76,AR,72735,WASHINGTON,5143
77,PA,15135,ALLEGHENY,42003
82,NJ,8231,ATLANTIC,34001
85,AL,35253,JEFFERSON,1073
90,TX,78278,BEXAR,48029
93,TX,75915,ANGELINA,48005
96,NJ,7303,HUDSON,34017
97,AZ,85261,MARICOPA,4013
100,TN,38581,WARREN,47177
101,TX,78235,BEXAR,48029
104,OK,74702,BRYAN,40013
105,TX,79604,TAYLOR,48441
106,TX,76951,STERLING,48431
107,NJ,7640,BERGEN,34003
110,TX,78381,ARANSAS,48007
111,TX,76470,EASTLAND,48429
113,WV,25557,LINCOLN,54099
116,AR,72916,SEBASTIAN,5131
117,FL,32723,VOLUSIA,12127
118,IN,47202,BARTHOLOMEW,18005
121,FL,34464,CITRUS,12017
122,TX,76936,SCHLEICHER,48413
123,WV,25818,RALEIGH,54081
125,NJ,8220,ATLANTIC,34001
128,FL,33715,PINELLAS,12103
129,TX,75752,HENDERSON,48467
132,SC,29021,KERSHAW,45055
135,TX,79769,ECTOR,48135
137,LA,71361,RAPIDES,22079
138,MO,65402,PHELPS,29161
139,IL,61046,CARROLL,17015
142,NJ,7832,WARREN,34041
144,WV,25976,FAYETTE,54089
148,IN,46121,PUTNAM,18133
149,TX,78560,HIDALGO,48215
150,MS,39649,PIKE,28113
152,NJ,8551,HUNTERDON,34019
157,MO,64454,CLINTON,29049
160,TX,75969,ANGELINA,48005
163,TX,79016,RANDALL,48381
164,TX,79101,POTTER,48375
166,TX,76693,FREESTONE,48293
168,NC,27109,FORSYTH,37067
171,GA,31018,WASHINGTON,13303
172,MS,39505,HARRISON,28047
175,FL,34291,SARASOTA,12115
176,MI,49020,CALHOUN,26025
181,TX,76902,TOM GREEN,48451
182,MS,39603,LINCOLN,28085
183,LA,70178,ORLEANS,22071
184,NC,28661,CALDWELL,37027
186,AZ,85242,MARICOPA,4013
189,CO,80523,LARIMER,8069
191,NY,12604,DUTCHESS,36027
193,MS,39535,HARRISON,28047
196,GA,31213,BIBB,13021
200,AL,36553,WASHINGTON,1129
201,SC,29633,PICKENS,45077
202,CO,81433,SAN JUAN,8111
203,LA,71133,CADDO,22017
205,AL,35902,ETOWAH,1055
208,MS,39462,PERRY,28111
210,TX,79843,PRESIDIO,48377
211,LA,70612,CALCASIEU,22019
214,MT,59063,STILLWATER,30111
216,CA,95736,PLACER,6061
218,IN,47368,RANDOLPH,18135
219,NC,28371,ROBESON,37155
