id,year,fips,state_fips_code,county_fips_code,pred_grams_hydro
0,2013,12033,12,33,210344.9474
1,2013,12053,12,53,194932.7389
2,2013,12057,12,57,222668.0341
3,2013,12091,12,91,187205.1193
4,2013,12123,12,123,30367.6337
5,2013,12129,12,129,197088.347
6,2013,13187,13,187,200586.005
7,2013,13189,13,189,98584.06885
8,2013,13201,13,201,27424.75093
9,2013,13211,13,211,203766.7586
10,2013,13149,13,149,28687.62726
11,2013,13219,13,219,193409.6404
12,2013,13095,13,95,75603.38019
13,2013,13111,13,111,204165.2741
14,2013,13151,13,151,200401.8333
15,2013,13153,13,153,192011.8569
16,2013,13175,13,175,52347.35745
17,2013,13183,13,183,198177.4689
18,2013,13255,13,255,189757.2758
19,2013,13257,13,257,100142.0011
20,2013,13271,13,271,30868.68091
21,2013,13293,13,293,32021.98835
22,2013,13303,13,303,30497.22874
23,2013,13225,13,225,202466.8085
24,2013,13229,13,229,30775.13032
25,2013,13231,13,231,196945.0194
26,2013,13251,13,251,30672.12812
27,2013,13267,13,267,31880.14007
28,2013,13295,13,295,102089.0578
29,2013,13135,13,135,219152.0012
30,2013,13049,13,49,28006.32879
31,2013,13015,13,15,195304.8794
32,2013,13097,13,97,187481.9513
33,2013,13161,13,161,29928.05165
34,2013,13141,13,141,28608.22869
35,2013,13037,13,37,27917.79046
36,2013,13285,13,285,197510.3112
37,2013,13197,13,197,28269.4492
38,2013,13249,13,249,27356.16985
39,2013,13023,13,23,29367.84069
40,2013,13109,13,109,29166.75938
41,2013,13119,13,119,194449.0998
42,2013,13103,13,103,185425.0808
43,2013,13171,13,171,200998.6711
44,2013,13107,13,107,32660.9434
45,2013,13239,13,239,26962.26033
46,2013,13159,13,159,202240.9006
47,2013,13173,13,173,194503.189
48,2013,13179,13,179,196043.3277
49,2013,13205,13,205,31076.80699
50,2013,13253,13,253,27980.22566
51,2013,13289,13,289,28311.84878
52,2013,13233,13,233,137616.2286
53,2013,13269,13,269,28040.75132
54,2013,13275,13,275,206005.3999
55,2013,13279,13,279,34539.79312
56,2013,13209,13,209,27425.62634
57,2013,13221,13,221,205508.8509
58,2013,13247,13,247,188316.8123
59,2013,13305,13,305,34612.2845
60,2013,13309,13,309,26479.49873
61,2013,13009,13,9,69701.20694
62,2013,18061,18,61,185785.5226
63,2013,18169,18,169,32662.53898
64,2013,18075,18,75,13089.26802
65,2013,18127,18,127,186240.6893
66,2013,18147,18,147,191660.0684
67,2013,18157,18,157,198937.2872
68,2013,18057,18,57,207136.064
69,2013,18087,18,87,199332.0021
70,2013,18011,18,11,185530.8034
71,2013,18107,18,107,136174.3369
72,2013,18019,18,19,191013.2561
73,2013,18021,18,21,22683.55913
74,2013,18047,18,47,193781.2941
75,2013,18071,18,71,186916.0623
76,2013,18129,18,129,194232.2221
77,2013,18165,18,165,11568.97703
78,2013,18003,18,3,217294.5216
79,2013,18043,18,43,186832.1542
80,2013,18081,18,81,186436.4171
81,2013,18051,18,51,85422.62691
82,2013,18117,18,117,12717.6727
83,2013,18099,18,99,190261.5149
84,2013,18009,18,9,9155.247738
85,2013,18143,18,143,47638.60829
86,2013,18039,18,39,201096.8604
87,2013,18017,18,17,41718.61711
88,2013,13021,13,21,201797.1186
89,2013,18177,18,177,77126.57767
90,2013,19023,19,23,22089.67901
91,2013,19079,19,79,27317.31129
92,2013,19175,19,175,9152.317986
93,2013,19195,19,195,7690.671105
94,2013,19001,19,1,8357.145758
95,2013,19037,19,37,8676.414628
96,2013,19059,19,59,193888.8425
97,2013,19069,19,69,27296.0856
98,2013,19031,19,31,194164.2257
99,2013,19067,19,67,9731.75527
100,2013,19115,19,115,27910.10226
101,2013,19091,19,91,8073.184895
102,2013,19183,19,183,197279.5752
103,2013,19035,19,35,8570.947368
104,2013,19057,19,57,39783.02091
105,2013,19109,19,109,8750.052496
106,2013,19139,19,139,187527.4347
107,2013,19153,19,153,216523.1854
108,2013,19107,19,107,8223.874346
109,2013,19171,19,171,46505.50676
110,2013,21225,21,225,30262.51633
111,2013,21035,21,35,198751.24
112,2013,13011,13,11,206701.2206
113,2013,13031,13,31,198623.7831
114,2013,13059,13,59,204476.5652
115,2013,13061,13,61,27607.29677
116,2013,13101,13,101,27495.96364
117,2013,13127,13,127,195662.6385
118,2013,13089,13,89,223238.827
119,2013,13143,13,143,103058.3984
120,2013,13157,13,157,186393.0102
121,2013,13163,13,163,29055.86147
122,2013,13169,13,169,197136.0714
123,2013,13181,13,181,53534.26894
124,2013,13213,13,213,51515.72431
125,2013,13215,13,215,207888.4709
126,2013,13235,13,235,26542.79102
127,2013,13241,13,241,201229.645
128,2013,13259,13,259,27554.84394
129,2013,13281,13,281,198316.459
130,2013,13283,13,283,28029.28001
131,2013,13287,13,287,26843.79077
132,2013,13003,13,3,28793.32957
133,2013,13001,13,1,33183.79346
134,2013,13025,13,25,31025.88567
135,2013,13017,13,17,31291.49028
136,2013,13047,13,47,194353.3701
137,2013,13055,13,55,31819.55701
138,2013,13073,13,73,186563.0768
139,2013,13115,13,115,190591.0647
140,2013,13117,13,117,196560.9998
141,2013,13147,13,147,203832.5898
142,2013,13185,13,185,203770.1686
143,2013,13199,13,199,29125.50724
144,2013,13237,13,237,199395.729
145,2013,13261,13,261,35661.69258
146,2013,13301,13,301,27884.202
147,2013,13007,13,7,27480.1964
148,2013,13035,13,35,196548.5916
149,2013,13043,13,43,29248.80338
150,2013,13045,13,45,197474.4172
151,2013,13099,13,99,29883.08791
152,2013,13081,13,81,32977.53747
153,2013,13077,13,77,186436.4171
154,2013,13067,13,67,215029.2516
155,2013,13083,13,83,192335.0762
156,2013,13317,13,317,29166.75938
157,2013,13027,13,27,48775.14032
158,2013,13129,13,129,191873.0777
159,2013,13105,13,105,31888.02015
160,2013,13165,13,165,28485.42128
161,2013,13217,13,217,191642.3874
162,2013,13133,13,133,200718.3421
