,year,fips,state_fips_code,county_fips_code,pred_grams_oxy,pred_grams_oxy_per100k
0,2013,12033,12,33,640072.0964,208700.5603
1,2013,12053,12,53,449798.9084,259042.5586
2,2013,12057,12,57,837070.0383,64186.03946
3,2013,12091,12,91,432405.151,224406.8914
4,2013,12123,12,123,155745.7968,680915.476
5,2013,12129,12,129,244026.6781,787081.2736
6,2013,13187,13,187,240448.4591,778830.8848
7,2013,13189,13,189,259230.2916,1205778.369
8,2013,13201,13,201,142569.7538,2416846.139
9,2013,13211,13,211,221981.5585,1255409.787
10,2013,13149,13,149,174408.8752,1508205.423
11,2013,13219,13,219,275147.9556,807430.1012
12,2013,13095,13,95,272966.9935,292221.4659
13,2013,13111,13,111,217442.7102,912436.3652
14,2013,13151,13,151,470867.4257,224209.7717
15,2013,13153,13,153,357214.5966,242135.0645
16,2013,13175,13,175,223086.1369,467362.4891
17,2013,13183,13,183,215641.316,1308185.61
18,2013,13255,13,255,323086.1859,508733.0508
19,2013,13257,13,257,238551.6346,933629.3475
20,2013,13271,13,271,201254.2691,1209969.753
21,2013,13293,13,293,169879.7869,642972.5858
22,2013,13303,13,303,160209.7598,778737.9565
23,2013,13225,13,225,279741.246,1029899.293
24,2013,13229,13,229,156147.6231,821094.9316
25,2013,13231,13,231,221921.6426,1248574.562
26,2013,13251,13,251,209588.3224,1481713.131
27,2013,13267,13,267,153763.4536,599818.4264
28,2013,13295,13,295,268017.0817,390729.629
29,2013,13135,13,135,668241.1829,78297.98302
30,2013,13049,13,49,146854.4887,1120427.93
31,2013,13015,13,15,297237.8235,294536.92
32,2013,13097,13,97,375447.7627,276015.8227
33,2013,13161,13,161,168519.7937,1120328.372
34,2013,13141,13,141,200469.0749,2239377.512
35,2013,13037,13,37,137387.4356,2082890.17
36,2013,13285,13,285,315527.003,458608.1642
37,2013,13197,13,197,148426.3484,1729910.821
38,2013,13249,13,249,168366.2617,3304538.992
39,2013,13023,13,23,207899.6013,1631352.803
40,2013,13109,13,109,156572.7164,1450553.237
41,2013,13119,13,119,246734.0241,1119228.959
42,2013,13103,13,103,287933.6216,529104.9479
43,2013,13171,13,171,257838.2403,1438107.202
44,2013,13107,13,107,209156.8542,924205.0911
45,2013,13239,13,239,143529.1142,6063756.41
46,2013,13159,13,159,222435.2395,1635914.095
47,2013,13173,13,173,226206.1975,2172552.8
48,2013,13179,13,179,304958.7692,489178.5009
49,2013,13205,13,205,155025.4396,674258.1749
50,2013,13253,13,253,156525.3056,1769047.306
51,2013,13289,13,289,205991.261,2418873.427
52,2013,13233,13,233,253576.8365,618827.2359
53,2013,13269,13,269,198897.7302,2373481.267
54,2013,13275,13,275,270330.2722,603820.13
55,2013,13279,13,279,199792.7865,734829.477
56,2013,13209,13,209,194077.9494,2166774.025
57,2013,13221,13,221,211299.7907,1465019.695
58,2013,13247,13,247,292584.0606,338325.6945
59,2013,13305,13,305,174839.7945,582993.6463
60,2013,13309,13,309,195146.8321,2459317.355
61,2013,13009,13,9,271794.8661,588580.8526
62,2013,18061,18,61,246363.3044,631700.7805
63,2013,18169,18,169,208201.6606,645206.4228
64,2013,18075,18,75,148202.9972,696770.0855
65,2013,18127,18,127,376178.4868,225962.8821
66,2013,18147,18,147,195898.1007,943541.5698
67,2013,18157,18,157,368203.4426,202361.8421
68,2013,18057,18,57,514099.6014,173180.3089
69,2013,18087,18,87,223267.5852,586173.3971
70,2013,18011,18,11,304301.3753,504261.0535
71,2013,18107,18,107,241965.9288,634465.0309
72,2013,18019,18,19,344902.491,306068.5175
73,2013,18021,18,21,172494.4955,646967.5773
74,2013,18047,18,47,216697.0785,943391.7219
75,2013,18071,18,71,243879.5643,561455.8195
76,2013,18129,18,129,217251.6357,849934.0235
77,2013,18165,18,165,165595.6748,1044635.849
78,2013,18003,18,3,674703.4609,185687.1272
79,2013,18043,18,43,278877.1468,366856.7271
80,2013,18081,18,81,377901.1342,259886.62
81,2013,18051,18,51,238170.3622,711296.0286
82,2013,18117,18,117,166624.6412,840053.6486
83,2013,18099,18,99,253873.2356,541192.1457
84,2013,18009,18,9,151183.3449,1213252.106
85,2013,18143,18,143,188821.0624,794868.7113
86,2013,18039,18,39,485472.2908,242487.5956
87,2013,18017,18,17,180750.3169,468447.1088
88,2013,13021,13,21,369467.5468,238318.4956
89,2013,18177,18,177,243332.9373,358977.5575
90,2013,19023,19,23,155355.459,1037432.114
91,2013,19079,19,79,131185.5727,855019.049
92,2013,19175,19,175,127792.893,1012943.033
93,2013,19195,19,195,152500.9178,2036332.191
94,2013,19001,19,1,127543.7523,1726597.432
95,2013,19037,19,37,148844.9228,1212684.723
96,2013,19059,19,59,188244.5027,1115324.699
97,2013,19069,19,69,127679.8104,1215188.069
98,2013,19031,19,31,178914.7514,981645.7334
99,2013,19067,19,67,129242.5684,806606.5558
100,2013,19115,19,115,169441.0274,1493135.596
101,2013,19091,19,91,120616.9992,1246429.67
102,2013,19183,19,183,211685.173,964660.8322
103,2013,19035,19,35,119806.4092,1008981.044
104,2013,19057,19,57,196518.0487,486491.0228
105,2013,19109,19,109,128887.5734,840644.2306
106,2013,19139,19,139,233965.775,543979.9465
107,2013,19153,19,153,605540.1654,133774.6164
108,2013,19107,19,107,116568.1706,1127678.926
109,2013,19171,19,171,180752.0896,1037017.152
