,year,fips,state_fips_code,county_fips_code,pred_mortality_count
0,2013,12033,12,33,72.31978934
1,2013,12053,12,53,60.2860675
2,2013,12057,12,57,284.2822247
3,2013,12091,12,91,68.19798187
4,2013,12123,12,123,27.41643004
5,2013,12129,12,129,21.82594139
6,2013,13187,13,187,46.27563245
7,2013,13189,13,189,33.26343517
8,2013,13201,13,201,12.61292454
9,2013,13211,13,211,45.61405175
10,2013,13149,13,149,26.70104665
11,2013,13219,13,219,42.78512712
12,2013,13095,13,95,42.88484492
13,2013,13111,13,111,49.40458978
14,2013,13151,13,151,48.88024391
15,2013,13153,13,153,35.06201753
16,2013,13175,13,175,18.58374608
17,2013,13183,13,183,26.24228019
18,2013,13255,13,255,31.669177
19,2013,13257,13,257,34.38587639
20,2013,13271,13,271,10.89739169
21,2013,13293,13,293,16.39227932
22,2013,13303,13,303,13.74199973
23,2013,13225,13,225,32.35978353
24,2013,13229,13,229,13.16530245
25,2013,13231,13,231,38.38405175
26,2013,13251,13,251,11.68883539
27,2013,13267,13,267,16.31032516
28,2013,13295,13,295,34.82348987
29,2013,13135,13,135,246.2004883
30,2013,13049,13,49,10.62571631
31,2013,13015,13,15,35.45603206
32,2013,13097,13,97,34.7658778
33,2013,13161,13,161,13.41451568
34,2013,13141,13,141,11.9195361
35,2013,13037,13,37,10.20579034
36,2013,13285,13,285,33.98270949
37,2013,13197,13,197,23.87426758
38,2013,13249,13,249,28.97193543
39,2013,13023,13,23,14.52315388
40,2013,13109,13,109,27.97915654
41,2013,13119,13,119,33.83600493
42,2013,13103,13,103,39.11455368
43,2013,13171,13,171,30.66970357
44,2013,13107,13,107,12.6139856
45,2013,13239,13,239,10.11932967
46,2013,13159,13,159,26.39574203
47,2013,13173,13,173,31.29009732
48,2013,13179,13,179,28.61575763
49,2013,13205,13,205,13.98718727
50,2013,13253,13,253,10.95479383
51,2013,13289,13,289,12.25054385
52,2013,13233,13,233,33.12783784
53,2013,13269,13,269,10.9550927
54,2013,13275,13,275,36.4128512
55,2013,13279,13,279,29.26688094
56,2013,13209,13,209,10.95479383
57,2013,13221,13,221,26.49461037
58,2013,13247,13,247,32.49672042
59,2013,13305,13,305,14.31594183
60,2013,13309,13,309,12.18508385
61,2013,13009,13,9,37.56325362
62,2013,18061,18,61,24.91496254
63,2013,18169,18,169,24.73015653
64,2013,18075,18,75,13.31772665
65,2013,18127,18,127,59.37801319
66,2013,18147,18,147,22.93265089
67,2013,18157,18,157,53.46356198
68,2013,18057,18,57,70.64682016
69,2013,18087,18,87,46.27090105
70,2013,18011,18,11,42.63239105
71,2013,18107,18,107,26.69057069
72,2013,18019,18,19,33.2236374
73,2013,18021,18,21,20.51942631
74,2013,18047,18,47,27.9188885
75,2013,18071,18,71,26.50820658
76,2013,18129,18,129,21.93731756
77,2013,18165,18,165,11.06490563
78,2013,18003,18,3,83.72803624
79,2013,18043,18,43,25.39419166
80,2013,18081,18,81,33.39671784
81,2013,18051,18,51,25.88552436
82,2013,18117,18,117,28.42289199
83,2013,18099,18,99,28.51187844
84,2013,18009,18,9,11.2058131
85,2013,18143,18,143,25.70034534
86,2013,18039,18,39,55.10859484
87,2013,18017,18,17,11.42456438
88,2013,13021,13,21,61.91692687
89,2013,18177,18,177,36.95343418
90,2013,19023,19,23,23.9675541
91,2013,19079,19,79,19.71596961
92,2013,19175,19,175,19.94304288
93,2013,19195,19,195,28.73175968
94,2013,19001,19,1,26.0181596
95,2013,19037,19,37,24.63877787
96,2013,19059,19,59,42.37549928
97,2013,19069,19,69,17.04288147
98,2013,19031,19,31,22.87635354
99,2013,19067,19,67,19.22211722
100,2013,19115,19,115,22.215582
101,2013,19091,19,91,11.22134272
102,2013,19183,19,183,22.0713606
103,2013,19035,19,35,9.727804918
104,2013,19057,19,57,25.52793082
105,2013,19109,19,109,18.21559423
106,2013,19139,19,139,25.36614342
107,2013,19153,19,153,111.1560788
108,2013,19107,19,107,15.93365045
109,2013,19171,19,171,22.97815855
110,2013,21225,21,225,10.54316179
111,2013,21035,21,35,32.52621776
112,2013,13011,13,11,31.30693352
113,2013,13031,13,31,37.21554656
114,2013,13059,13,59,56.39679357
115,2013,13061,13,61,10.45966639
116,2013,13101,13,101,9.734813908
117,2013,13127,13,127,51.44400468
118,2013,13089,13,89,254.1222395
119,2013,13143,13,143,32.45666464
120,2013,13157,13,157,45.28772501
121,2013,13163,13,163,12.28676696
122,2013,13169,13,169,24.5172496
123,2013,13181,13,181,33.91796013
124,2013,13213,13,213,34.0569631
125,2013,13215,13,215,61.15266205
126,2013,13235,13,235,20.9717696
127,2013,13241,13,241,49.72070444
128,2013,13259,13,259,9.451556715
129,2013,13281,13,281,49.39504998
130,2013,13283,13,283,11.31961604
131,2013,13287,13,287,14.06335571
132,2013,13003,13,3,10.86842604
133,2013,13001,13,1,10.83804348
134,2013,13025,13,25,10.73422286
135,2013,13017,13,17,15.34568936
136,2013,13047,13,47,27.27088211
137,2013,13055,13,55,11.61856189
138,2013,13073,13,73,49.81154376
139,2013,13115,13,115,39.97715647
140,2013,13117,13,117,58.17281542
141,2013,13147,13,147,34.87297819
142,2013,13185,13,185,45.83953706
143,2013,13199,13,199,28.59972706
144,2013,13237,13,237,26.75695452
145,2013,13261,13,261,30.41144933
146,2013,13301,13,301,11.40945153
147,2013,13007,13,7,10.45966639
148,2013,13035,13,35,25.99458908
149,2013,13043,13,43,15.42058514
150,2013,13045,13,45,37.42834203
151,2013,13099,13,99,13.27804393
152,2013,13081,13,81,34.62370456
153,2013,13077,13,77,51.96209588
154,2013,13067,13,67,243.6367539
155,2013,13083,13,83,25.41936777
156,2013,13317,13,317,32.69508521
157,2013,13027,13,27,33.52829297
158,2013,13129,13,129,34.45160625
159,2013,13105,13,105,15.39043691
160,2013,13165,13,165,11.81811831
161,2013,13217,13,217,35.3252284
